Yil,Ay,Gun,Saat,Basel
Y2018,Ocak,D06,T1200,0.0
Y2018,Ocak,D06,T1300,0.0
Y2018,Ocak,D06,T1400,0.0
Y2018,Ocak,D06,T1500,0.0
Y2018,Ocak,D06,T1600,0.0
Y2018,Ocak,D06,T1700,0.0
Y2018,Ocak,D06,T1800,0.0
Y2018,Ocak,D06,T1900,0.0
Y2018,Ocak,D06,T2000,0.0
Y2018,Ocak,D06,T2100,0.0
Y2018,Ocak,D06,T2200,0.0
Y2018,Ocak,D06,T2300,0.0
Y2018,Ocak,D07,T0000,0.0
Y2018,Ocak,D07,T0100,0.0
Y2018,Ocak,D07,T0200,0.0
Y2018,Ocak,D07,T0300,0.0
Y2018,Ocak,D07,T0400,0.0
Y2018,Ocak,D07,T0500,0.0
Y2018,Ocak,D07,T0600,0.0
Y2018,Ocak,D07,T0700,0.0
Y2018,Ocak,D07,T0800,0.0
Y2018,Ocak,D07,T0900,0.0
Y2018,Ocak,D07,T1000,0.0
Y2018,Ocak,D07,T1100,0.0
Y2018,Ocak,D07,T1200,0.0
Y2018,Ocak,D07,T1300,0.0
Y2018,Ocak,D07,T1400,0.0
Y2018,Ocak,D07,T1500,0.0
Y2018,Ocak,D07,T1600,0.0
Y2018,Ocak,D07,T1700,0.0
Y2018,Ocak,D07,T1800,0.0
Y2018,Ocak,D07,T1900,0.0
Y2018,Ocak,D07,T2000,0.0
Y2018,Ocak,D07,T2100,0.0
Y2018,Ocak,D07,T2200,0.0
Y2018,Ocak,D07,T2300,0.0
Y2018,Ocak,D08,T0000,0.0
Y2018,Ocak,D08,T0100,0.0
Y2018,Ocak,D08,T0200,0.0
Y2018,Ocak,D08,T0300,0.0
Y2018,Ocak,D08,T0400,0.0
Y2018,Ocak,D08,T0500,0.0
Y2018,Ocak,D08,T0600,0.0
Y2018,Ocak,D08,T0700,0.0
Y2018,Ocak,D08,T0800,0.0
Y2018,Ocak,D08,T0900,0.0
Y2018,Ocak,D08,T1000,0.0
Y2018,Ocak,D08,T1100,0.0
Y2018,Ocak,D08,T1200,0.0
Y2018,Ocak,D08,T1300,0.0
Y2018,Ocak,D08,T1400,0.0
Y2018,Ocak,D08,T1500,0.0
Y2018,Ocak,D08,T1600,0.0
Y2018,Ocak,D08,T1700,0.0
Y2018,Ocak,D08,T1800,0.0
Y2018,Ocak,D08,T1900,0.0
Y2018,Ocak,D08,T2000,0.0
Y2018,Ocak,D08,T2100,0.0
Y2018,Ocak,D08,T2200,0.0
Y2018,Ocak,D08,T2300,0.0
Y2018,Ocak,D09,T0000,0.0
Y2018,Ocak,D09,T0100,0.0
Y2018,Ocak,D09,T0200,0.0
Y2018,Ocak,D09,T0300,0.0
