Yil,Ay,Gun,Saat,Yagis
Y2023,Ocak,D06,T1200,0.0
Y2023,Ocak,D06,T1300,0.0
Y2023,Ocak,D06,T1400,0.0
Y2023,Ocak,D06,T1500,0.0
Y2023,Ocak,D06,T1600,0.0
Y2023,Ocak,D06,T1700,0.0
Y2023,Ocak,D06,T1800,0.0
Y2023,Ocak,D06,T1900,0.0
Y2023,Ocak,D06,T2000,0.0
Y2023,Ocak,D06,T2100,0.0
Y2023,Ocak,D06,T2200,0.0
Y2023,Ocak,D06,T2300,0.0
Y2023,Ocak,D07,T0000,0.0
Y2023,Ocak,D07,T0100,0.0
Y2023,Ocak,D07,T0200,0.0
Y2023,Ocak,D07,T0300,0.0
Y2023,Ocak,D07,T0400,0.0
Y2023,Ocak,D07,T0500,0.0
Y2023,Ocak,D07,T0600,0.0
Y2023,Ocak,D07,T0700,0.0
Y2023,Ocak,D07,T0800,0.0
Y2023,Ocak,D07,T0900,0.0
Y2023,Ocak,D07,T1000,0.0
Y2023,Ocak,D07,T1100,0.0
Y2023,Ocak,D07,T1200,0.0
Y2023,Ocak,D07,T1300,0.0
Y2023,Ocak,D07,T1400,0.0
Y2023,Ocak,D07,T1500,0.0
Y2023,Ocak,D07,T1600,0.0
Y2023,Ocak,D07,T1700,0.0
Y2023,Ocak,D07,T1800,0.0
Y2023,Ocak,D07,T1900,0.0
Y2023,Ocak,D07,T2000,0.0
Y2023,Ocak,D07,T2100,0.0
Y2023,Ocak,D07,T2200,0.0
Y2023,Ocak,D07,T2300,0.0
Y2023,Ocak,D08,T0000,0.0
Y2023,Ocak,D08,T0100,0.0
Y2023,Ocak,D08,T0200,0.0
Y2023,Ocak,D08,T0300,0.0
Y2023,Ocak,D08,T0400,0.0
Y2023,Ocak,D08,T0500,0.4
Y2023,Ocak,D08,T0600,0.9
Y2023,Ocak,D08,T0700,0.5
Y2023,Ocak,D08,T0800,0.4
Y2023,Ocak,D08,T0900,0.5
Y2023,Ocak,D08,T1000,0.6
Y2023,Ocak,D08,T1100,0.5
Y2023,Ocak,D08,T1200,0.3
Y2023,Ocak,D08,T1300,0.0
Y2023,Ocak,D08,T1400,0.0
Y2023,Ocak,D08,T1500,0.0
Y2023,Ocak,D08,T1600,0.0
Y2023,Ocak,D08,T1700,0.1
Y2023,Ocak,D08,T1800,0.3
Y2023,Ocak,D08,T1900,1.2
Y2023,Ocak,D08,T2000,0.9
Y2023,Ocak,D08,T2100,0.9
Y2023,Ocak,D08,T2200,1.0
Y2023,Ocak,D08,T2300,1.0
Y2023,Ocak,D09,T0000,0.4
Y2023,Ocak,D09,T0100,0.2
Y2023,Ocak,D09,T0200,0.2
Y2023,Ocak,D09,T0300,0.2
Y2023,Ocak,D09,T0400,0.0
Y2023,Ocak,D09,T0500,0.0
Y2023,Ocak,D09,T0600,0.0
Y2023,Ocak,D09,T0700,0.0
Y2023,Ocak,D09,T0800,0.0
Y2023,Ocak,D09,T0900,0.0
Y2023,Ocak,D09,T1000,0.2
Y2023,Ocak,D09,T1100,0.3
Y2023,Ocak,D09,T1200,0.0
Y2023,Ocak,D09,T1300,0.2
Y2023,Ocak,D09,T1400,0.6
Y2023,Ocak,D09,T1500,0.0
Y2023,Ocak,D09,T1600,0.0
Y2023,Ocak,D09,T1700,0.2
Y2023,Ocak,D09,T1800,0.4
Y2023,Ocak,D09,T1900,0.4
Y2023,Ocak,D09,T2000,0.7
Y2023,Ocak,D09,T2100,0.9
Y2023,Ocak,D09,T2200,0.9
Y2023,Ocak,D09,T2300,0.5
Y2023,Ocak,D10,T0000,0.2
Y2023,Ocak,D10,T0100,0.0
Y2023,Ocak,D10,T0200,0.0
Y2023,Ocak,D10,T0300,0.0
Y2023,Ocak,D10,T0400,0.2
Y2023,Ocak,D10,T0500,0.2
Y2023,Ocak,D10,T0600,0.0
Y2023,Ocak,D10,T0700,0.3
Y2023,Ocak,D10,T0800,0.2
Y2023,Ocak,D10,T0900,0.2
Y2023,Ocak,D10,T1000,0.3
Y2023,Ocak,D10,T1100,0.0
Y2023,Ocak,D10,T1200,0.0
Y2023,Ocak,D10,T1300,0.0
Y2023,Ocak,D10,T1400,0.0
Y2023,Ocak,D10,T1500,0.0
Y2023,Ocak,D10,T1600,0.0
Y2023,Ocak,D10,T1700,0.0
Y2023,Ocak,D10,T1800,0.0
Y2023,Ocak,D10,T1900,0.1
Y2023,Ocak,D10,T2000,0.0
Y2023,Ocak,D10,T2100,0.0
Y2023,Ocak,D10,T2200,0.0
Y2023,Ocak,D10,T2300,0.0
Y2023,Ocak,D11,T0000,0.0
Y2023,Ocak,D11,T0100,0.0
Y2023,Ocak,D11,T0200,0.0
Y2023,Ocak,D11,T0300,0.0
Y2023,Ocak,D11,T0400,0.0
Y2023,Ocak,D11,T0500,0.0
Y2023,Ocak,D11,T0600,0.0
Y2023,Ocak,D11,T0700,0.0
Y2023,Ocak,D11,T0800,0.0
Y2023,Ocak,D11,T0900,0.0
Y2023,Ocak,D11,T1000,0.2
Y2023,Ocak,D11,T1100,0.4
Y2023,Ocak,D11,T1200,0.4
Y2023,Ocak,D11,T1300,0.5
Y2023,Ocak,D11,T1400,0.3
Y2023,Ocak,D11,T1500,0.3
Y2023,Ocak,D11,T1600,0.2
Y2023,Ocak,D11,T1700,0.1
Y2023,Ocak,D11,T1800,0.0
Y2023,Ocak,D11,T1900,0.0
Y2023,Ocak,D11,T2000,0.0
Y2023,Ocak,D11,T2100,0.0
Y2023,Ocak,D11,T2200,0.0
Y2023,Ocak,D11,T2300,0.0
Y2023,Ocak,D12,T0000,0.0
Y2023,Ocak,D12,T0100,0.0
Y2023,Ocak,D12,T0200,0.0
Y2023,Ocak,D12,T0300,0.0
Y2023,Ocak,D12,T0400,0.0
Y2023,Ocak,D12,T0500,0.0
Y2023,Ocak,D12,T0600,0.0
Y2023,Ocak,D12,T0700,0.0
Y2023,Ocak,D12,T0800,0.0
Y2023,Ocak,D12,T0900,0.0
Y2023,Ocak,D12,T1000,0.0
Y2023,Ocak,D12,T1100,0.0
Y2023,Ocak,D12,T1200,0.0
Y2023,Ocak,D12,T1300,0.0
Y2023,Ocak,D12,T1400,0.0
Y2023,Ocak,D12,T1500,0.0
Y2023,Ocak,D12,T1600,0.0
Y2023,Ocak,D12,T1700,0.0
Y2023,Ocak,D12,T1800,0.0
Y2023,Ocak,D12,T1900,0.0
Y2023,Ocak,D12,T2000,0.0
Y2023,Ocak,D12,T2100,0.0
Y2023,Ocak,D12,T2200,0.0
Y2023,Ocak,D12,T2300,0.0
Y2023,Ocak,D13,T0000,0.0
Y2023,Ocak,D13,T0100,0.1
Y2023,Ocak,D13,T0200,0.1
Y2023,Ocak,D13,T0300,0.1
Y2023,Ocak,D13,T0400,0.6
Y2023,Ocak,D13,T0500,0.0
Y2023,Ocak,D13,T0600,0.0
Y2023,Ocak,D13,T0700,0.0
Y2023,Ocak,D13,T0800,0.0
Y2023,Ocak,D13,T0900,0.0
Y2023,Ocak,D13,T1000,0.0
Y2023,Ocak,D13,T1100,0.4
Y2023,Ocak,D13,T1200,0.2
Y2023,Ocak,D13,T1300,0.1
Y2023,Ocak,D13,T1400,0.3
Y2023,Ocak,D13,T1500,0.0
Y2023,Ocak,D13,T1600,0.0
Y2023,Ocak,D13,T1700,0.0
Y2023,Ocak,D13,T1800,0.0
Y2023,Ocak,D13,T1900,0.1
Y2023,Ocak,D13,T2000,0.0
Y2023,Ocak,D13,T2100,0.1
Y2023,Ocak,D13,T2200,0.0
Y2023,Ocak,D13,T2300,0.0
Y2023,Ocak,D14,T0000,0.0
Y2023,Ocak,D14,T0100,0.0
Y2023,Ocak,D14,T0200,0.0
Y2023,Ocak,D14,T0300,0.0
Y2023,Ocak,D14,T0400,0.0
Y2023,Ocak,D14,T0500,0.0
Y2023,Ocak,D14,T0600,0.0
Y2023,Ocak,D14,T0700,0.0
Y2023,Ocak,D14,T0800,0.0
Y2023,Ocak,D14,T0900,0.0
Y2023,Ocak,D14,T1000,0.0
Y2023,Ocak,D14,T1100,0.0
Y2023,Ocak,D14,T1200,0.0
Y2023,Ocak,D14,T1300,0.0
Y2023,Ocak,D14,T1400,0.0
Y2023,Ocak,D14,T1500,0.2
Y2023,Ocak,D14,T1600,0.2
Y2023,Ocak,D14,T1700,0.2
Y2023,Ocak,D14,T1800,0.2
Y2023,Ocak,D14,T1900,1.2
Y2023,Ocak,D14,T2000,0.6
Y2023,Ocak,D14,T2100,1.1
Y2023,Ocak,D14,T2200,0.7
Y2023,Ocak,D14,T2300,0.4
Y2023,Ocak,D15,T0000,0.7
Y2023,Ocak,D15,T0100,1.2
Y2023,Ocak,D15,T0200,0.6
Y2023,Ocak,D15,T0300,0.5
Y2023,Ocak,D15,T0400,0.3
Y2023,Ocak,D15,T0500,0.2
Y2023,Ocak,D15,T0600,0.3
Y2023,Ocak,D15,T0700,0.9
Y2023,Ocak,D15,T0800,1.3
Y2023,Ocak,D15,T0900,1.4
Y2023,Ocak,D15,T1000,1.1
Y2023,Ocak,D15,T1100,0.8
Y2023,Ocak,D15,T1200,0.4
Y2023,Ocak,D15,T1300,0.2
Y2023,Ocak,D15,T1400,0.0
Y2023,Ocak,D15,T1500,0.0
Y2023,Ocak,D15,T1600,0.0
Y2023,Ocak,D15,T1700,0.0
Y2023,Ocak,D15,T1800,0.0
Y2023,Ocak,D15,T1900,0.0
Y2023,Ocak,D15,T2000,0.0
Y2023,Ocak,D15,T2100,0.0
Y2023,Ocak,D15,T2200,0.0
Y2023,Ocak,D15,T2300,0.0
Y2023,Ocak,D16,T0000,0.0
Y2023,Ocak,D16,T0100,0.0
Y2023,Ocak,D16,T0200,0.0
Y2023,Ocak,D16,T0300,0.0
Y2023,Ocak,D16,T0400,0.0
Y2023,Ocak,D16,T0500,0.0
Y2023,Ocak,D16,T0600,0.0
Y2023,Ocak,D16,T0700,0.0
Y2023,Ocak,D16,T0800,0.0
Y2023,Ocak,D16,T0900,0.2
Y2023,Ocak,D16,T1000,0.2
Y2023,Ocak,D16,T1100,0.0
Y2023,Ocak,D16,T1200,0.0
Y2023,Ocak,D16,T1300,0.2
Y2023,Ocak,D16,T1400,0.3
Y2023,Ocak,D16,T1500,0.4
Y2023,Ocak,D16,T1600,0.3
Y2023,Ocak,D16,T1700,0.1
Y2023,Ocak,D16,T1800,0.0
Y2023,Ocak,D16,T1900,0.0
Y2023,Ocak,D16,T2000,0.0
Y2023,Ocak,D16,T2100,0.1
Y2023,Ocak,D16,T2200,0.0
Y2023,Ocak,D16,T2300,0.0
Y2023,Ocak,D17,T0000,0.0
Y2023,Ocak,D17,T0100,0.0
Y2023,Ocak,D17,T0200,0.0
Y2023,Ocak,D17,T0300,0.0
Y2023,Ocak,D17,T0400,0.0
Y2023,Ocak,D17,T0500,0.0
Y2023,Ocak,D17,T0600,0.0
Y2023,Ocak,D17,T0700,0.0
Y2023,Ocak,D17,T0800,0.0
Y2023,Ocak,D17,T0900,0.0
Y2023,Ocak,D17,T1000,0.0
Y2023,Ocak,D17,T1100,0.0
Y2023,Ocak,D17,T1200,0.1
Y2023,Ocak,D17,T1300,0.3
Y2023,Ocak,D17,T1400,0.5
Y2023,Ocak,D17,T1500,0.7
Y2023,Ocak,D17,T1600,1.4
Y2023,Ocak,D17,T1700,0.6
Y2023,Ocak,D17,T1800,0.3
Y2023,Ocak,D17,T1900,0.5
Y2023,Ocak,D17,T2000,0.2
Y2023,Ocak,D17,T2100,0.5
Y2023,Ocak,D17,T2200,0.4
Y2023,Ocak,D17,T2300,0.4
Y2023,Ocak,D18,T0000,0.3
Y2023,Ocak,D18,T0100,0.1
Y2023,Ocak,D18,T0200,0.1
Y2023,Ocak,D18,T0300,0.1
Y2023,Ocak,D18,T0400,0.0
Y2023,Ocak,D18,T0500,0.0
Y2023,Ocak,D18,T0600,0.0
Y2023,Ocak,D18,T0700,0.3
Y2023,Ocak,D18,T0800,0.2
Y2023,Ocak,D18,T0900,0.1
Y2023,Ocak,D18,T1000,0.0
Y2023,Ocak,D18,T1100,0.2
Y2023,Ocak,D18,T1200,0.0
Y2023,Ocak,D18,T1300,0.0
Y2023,Ocak,D18,T1400,0.0
Y2023,Ocak,D18,T1500,0.0
