Yil,Ay,Gun,Saat,Bulut
Y2023,Ocak,D07,T0600,70.0
Y2023,Ocak,D07,T0700,66.0
Y2023,Ocak,D07,T0800,66.0
Y2023,Ocak,D07,T0900,89.0
Y2023,Ocak,D07,T1000,87.0
Y2023,Ocak,D07,T1100,86.0
Y2023,Ocak,D07,T1200,17.0
Y2023,Ocak,D07,T1300,7.0
Y2023,Ocak,D07,T1400,11.400001
Y2023,Ocak,D07,T1500,10.5
Y2023,Ocak,D07,T1600,17.400002
Y2023,Ocak,D07,T1700,25.2
Y2023,Ocak,D07,T1800,18.300001
Y2023,Ocak,D07,T1900,13.200001
Y2023,Ocak,D07,T2000,9.6
Y2023,Ocak,D07,T2100,14.0
Y2023,Ocak,D07,T2200,10.0
Y2023,Ocak,D07,T2300,7.5000005
Y2023,Ocak,D08,T0000,38.0
Y2023,Ocak,D08,T0100,55.0
Y2023,Ocak,D08,T0200,30.000002
Y2023,Ocak,D08,T0300,38.0
Y2023,Ocak,D08,T0400,85.0
Y2023,Ocak,D08,T0500,99.0
Y2023,Ocak,D08,T0600,100.0
Y2023,Ocak,D08,T0700,100.0
Y2023,Ocak,D08,T0800,100.0
Y2023,Ocak,D08,T0900,100.0
Y2023,Ocak,D08,T1000,99.0
Y2023,Ocak,D08,T1100,99.0
Y2023,Ocak,D08,T1200,99.0
Y2023,Ocak,D08,T1300,82.0
Y2023,Ocak,D08,T1400,69.0
Y2023,Ocak,D08,T1500,33.0
Y2023,Ocak,D08,T1600,94.0
Y2023,Ocak,D08,T1700,88.0
Y2023,Ocak,D08,T1800,73.0
Y2023,Ocak,D08,T1900,95.0
Y2023,Ocak,D08,T2000,93.0
Y2023,Ocak,D08,T2100,94.0
Y2023,Ocak,D08,T2200,100.0
Y2023,Ocak,D08,T2300,100.0
Y2023,Ocak,D09,T0000,100.0
Y2023,Ocak,D09,T0100,97.0
Y2023,Ocak,D09,T0200,92.0
Y2023,Ocak,D09,T0300,94.0
Y2023,Ocak,D09,T0400,46.0
Y2023,Ocak,D09,T0500,45.0
Y2023,Ocak,D09,T0600,35.0
Y2023,Ocak,D09,T0700,56.0
Y2023,Ocak,D09,T0800,64.0
Y2023,Ocak,D09,T0900,74.0
Y2023,Ocak,D09,T1000,74.0
Y2023,Ocak,D09,T1100,73.0
Y2023,Ocak,D09,T1200,57.0
Y2023,Ocak,D09,T1300,27.0
Y2023,Ocak,D09,T1400,43.0
Y2023,Ocak,D09,T1500,56.0
Y2023,Ocak,D09,T1600,62.0
Y2023,Ocak,D09,T1700,73.0
Y2023,Ocak,D09,T1800,76.0
Y2023,Ocak,D09,T1900,53.0
Y2023,Ocak,D09,T2000,64.0
Y2023,Ocak,D09,T2100,91.0
Y2023,Ocak,D09,T2200,99.0
Y2023,Ocak,D09,T2300,89.0
Y2023,Ocak,D10,T0000,56.0
Y2023,Ocak,D10,T0100,76.0
Y2023,Ocak,D10,T0200,70.0
Y2023,Ocak,D10,T0300,71.0
Y2023,Ocak,D10,T0400,83.0
Y2023,Ocak,D10,T0500,96.0
Y2023,Ocak,D10,T0600,91.0
Y2023,Ocak,D10,T0700,92.0
Y2023,Ocak,D10,T0800,98.0
Y2023,Ocak,D10,T0900,97.0
Y2023,Ocak,D10,T1000,79.0
Y2023,Ocak,D10,T1100,68.0
Y2023,Ocak,D10,T1200,61.0
Y2023,Ocak,D10,T1300,55.0
Y2023,Ocak,D10,T1400,68.0
Y2023,Ocak,D10,T1500,88.0
Y2023,Ocak,D10,T1600,98.0
Y2023,Ocak,D10,T1700,98.0
Y2023,Ocak,D10,T1800,96.0
Y2023,Ocak,D10,T1900,98.0
Y2023,Ocak,D10,T2000,98.0
Y2023,Ocak,D10,T2100,100.0
Y2023,Ocak,D10,T2200,100.0
Y2023,Ocak,D10,T2300,100.0
Y2023,Ocak,D11,T0000,100.0
Y2023,Ocak,D11,T0100,100.0
Y2023,Ocak,D11,T0200,98.0
Y2023,Ocak,D11,T0300,97.0
Y2023,Ocak,D11,T0400,87.0
Y2023,Ocak,D11,T0500,89.0
Y2023,Ocak,D11,T0600,67.0
Y2023,Ocak,D11,T0700,65.0
Y2023,Ocak,D11,T0800,90.0
Y2023,Ocak,D11,T0900,96.0
Y2023,Ocak,D11,T1000,100.0
Y2023,Ocak,D11,T1100,100.0
Y2023,Ocak,D11,T1200,100.0
Y2023,Ocak,D11,T1300,100.0
Y2023,Ocak,D11,T1400,99.0
Y2023,Ocak,D11,T1500,100.0
Y2023,Ocak,D11,T1600,98.0
Y2023,Ocak,D11,T1700,71.0
Y2023,Ocak,D11,T1800,48.0
Y2023,Ocak,D11,T1900,57.0
Y2023,Ocak,D11,T2000,65.0
Y2023,Ocak,D11,T2100,39.0
Y2023,Ocak,D11,T2200,74.0
Y2023,Ocak,D11,T2300,34.0
Y2023,Ocak,D12,T0000,52.0
Y2023,Ocak,D12,T0100,56.0
Y2023,Ocak,D12,T0200,61.0
Y2023,Ocak,D12,T0300,58.0
Y2023,Ocak,D12,T0400,80.0
Y2023,Ocak,D12,T0500,90.0
Y2023,Ocak,D12,T0600,89.0
Y2023,Ocak,D12,T0700,94.0
Y2023,Ocak,D12,T0800,88.0
Y2023,Ocak,D12,T0900,87.0
Y2023,Ocak,D12,T1000,85.0
Y2023,Ocak,D12,T1100,98.0
Y2023,Ocak,D12,T1200,98.0
Y2023,Ocak,D12,T1300,93.0
Y2023,Ocak,D12,T1400,92.0
Y2023,Ocak,D12,T1500,88.0
Y2023,Ocak,D12,T1600,79.0
Y2023,Ocak,D12,T1700,83.0
Y2023,Ocak,D12,T1800,78.0
Y2023,Ocak,D12,T1900,90.0
Y2023,Ocak,D12,T2000,97.0
Y2023,Ocak,D12,T2100,97.0
Y2023,Ocak,D12,T2200,100.0
Y2023,Ocak,D12,T2300,99.0
Y2023,Ocak,D13,T0000,90.0
Y2023,Ocak,D13,T0100,97.0
Y2023,Ocak,D13,T0200,100.0
Y2023,Ocak,D13,T0300,98.0
Y2023,Ocak,D13,T0400,98.0
Y2023,Ocak,D13,T0500,96.0
Y2023,Ocak,D13,T0600,99.0
Y2023,Ocak,D13,T0700,98.0
Y2023,Ocak,D13,T0800,86.0
Y2023,Ocak,D13,T0900,71.0
Y2023,Ocak,D13,T1000,90.0
Y2023,Ocak,D13,T1100,53.0
Y2023,Ocak,D13,T1200,38.0
Y2023,Ocak,D13,T1300,47.0
Y2023,Ocak,D13,T1400,49.0
Y2023,Ocak,D13,T1500,32.0
Y2023,Ocak,D13,T1600,41.0
Y2023,Ocak,D13,T1700,25.0
Y2023,Ocak,D13,T1800,27.0
Y2023,Ocak,D13,T1900,40.0
Y2023,Ocak,D13,T2000,53.0
Y2023,Ocak,D13,T2100,50.0
Y2023,Ocak,D13,T2200,71.0
Y2023,Ocak,D13,T2300,75.0
Y2023,Ocak,D14,T0000,72.0
Y2023,Ocak,D14,T0100,79.0
Y2023,Ocak,D14,T0200,98.0
Y2023,Ocak,D14,T0300,55.0
Y2023,Ocak,D14,T0400,54.0
Y2023,Ocak,D14,T0500,91.0
Y2023,Ocak,D14,T0600,87.0
Y2023,Ocak,D14,T0700,71.0
Y2023,Ocak,D14,T0800,93.0
Y2023,Ocak,D14,T0900,63.0
Y2023,Ocak,D14,T1000,87.0
Y2023,Ocak,D14,T1100,75.0
Y2023,Ocak,D14,T1200,99.0
Y2023,Ocak,D14,T1300,91.0
Y2023,Ocak,D14,T1400,92.0
Y2023,Ocak,D14,T1500,97.0
Y2023,Ocak,D14,T1600,98.0
Y2023,Ocak,D14,T1700,99.0
Y2023,Ocak,D14,T1800,99.0
Y2023,Ocak,D14,T1900,99.0
Y2023,Ocak,D14,T2000,98.0
Y2023,Ocak,D14,T2100,96.0
Y2023,Ocak,D14,T2200,95.0
Y2023,Ocak,D14,T2300,97.0
Y2023,Ocak,D15,T0000,100.0
Y2023,Ocak,D15,T0100,100.0
Y2023,Ocak,D15,T0200,98.0
Y2023,Ocak,D15,T0300,97.0
Y2023,Ocak,D15,T0400,97.0
Y2023,Ocak,D15,T0500,98.0
Y2023,Ocak,D15,T0600,100.0
Y2023,Ocak,D15,T0700,100.0
Y2023,Ocak,D15,T0800,99.0
Y2023,Ocak,D15,T0900,100.0
Y2023,Ocak,D15,T1000,96.0
Y2023,Ocak,D15,T1100,99.0
Y2023,Ocak,D15,T1200,100.0
Y2023,Ocak,D15,T1300,79.0
Y2023,Ocak,D15,T1400,18.0
Y2023,Ocak,D15,T1500,14.0
Y2023,Ocak,D15,T1600,8.0
Y2023,Ocak,D15,T1700,6.0
Y2023,Ocak,D15,T1800,13.0
Y2023,Ocak,D15,T1900,12.0
Y2023,Ocak,D15,T2000,12.0
Y2023,Ocak,D15,T2100,16.0
Y2023,Ocak,D15,T2200,29.0
Y2023,Ocak,D15,T2300,24.0
Y2023,Ocak,D16,T0000,71.0
Y2023,Ocak,D16,T0100,34.0
Y2023,Ocak,D16,T0200,53.0
Y2023,Ocak,D16,T0300,33.0
Y2023,Ocak,D16,T0400,9.0
Y2023,Ocak,D16,T0500,27.300001
Y2023,Ocak,D16,T0600,30.000002
Y2023,Ocak,D16,T0700,82.0
Y2023,Ocak,D16,T0800,100.0
Y2023,Ocak,D16,T0900,99.0
Y2023,Ocak,D16,T1000,82.0
Y2023,Ocak,D16,T1100,65.0
Y2023,Ocak,D16,T1200,87.0
