Yil,Ay,Gun,Saat,Sicaklik
Y2023,Ocak,D06,T0400,7.5102453
Y2023,Ocak,D06,T0500,7.920245
Y2023,Ocak,D06,T0600,8.450246
Y2023,Ocak,D06,T0700,8.620245
Y2023,Ocak,D06,T0800,8.890245
Y2023,Ocak,D06,T0900,9.220245
Y2023,Ocak,D06,T1000,9.5602455
Y2023,Ocak,D06,T1100,9.980246
Y2023,Ocak,D06,T1200,10.450245
Y2023,Ocak,D06,T1300,10.500245
Y2023,Ocak,D06,T1400,10.470245
Y2023,Ocak,D06,T1500,10.130245
Y2023,Ocak,D06,T1600,10.270246
Y2023,Ocak,D06,T1700,10.080245
Y2023,Ocak,D06,T1800,9.510245
Y2023,Ocak,D06,T1900,8.650246
Y2023,Ocak,D06,T2000,7.920245
Y2023,Ocak,D06,T2100,8.000245
Y2023,Ocak,D06,T2200,7.750245
Y2023,Ocak,D06,T2300,7.0602455
Y2023,Ocak,D07,T0000,7.020245
Y2023,Ocak,D07,T0100,6.960245
Y2023,Ocak,D07,T0200,6.5902452
Y2023,Ocak,D07,T0300,6.460245
Y2023,Ocak,D07,T0400,6.4702454
Y2023,Ocak,D07,T0500,6.770245
Y2023,Ocak,D07,T0600,6.5302453
Y2023,Ocak,D07,T0700,6.6802454
Y2023,Ocak,D07,T0800,6.9902453
Y2023,Ocak,D07,T0900,7.6002455
Y2023,Ocak,D07,T1000,8.640245
Y2023,Ocak,D07,T1100,9.580245
Y2023,Ocak,D07,T1200,10.390245
Y2023,Ocak,D07,T1300,10.920245
Y2023,Ocak,D07,T1400,11.090245
Y2023,Ocak,D07,T1500,10.290245
Y2023,Ocak,D07,T1600,7.8702455
Y2023,Ocak,D07,T1700,6.6802454
Y2023,Ocak,D07,T1800,6.1202455
Y2023,Ocak,D07,T1900,5.880245
Y2023,Ocak,D07,T2000,5.630245
Y2023,Ocak,D07,T2100,5.5702453
Y2023,Ocak,D07,T2200,4.9302454
Y2023,Ocak,D07,T2300,4.8302455
Y2023,Ocak,D08,T0000,4.150245
Y2023,Ocak,D08,T0100,4.1802454
Y2023,Ocak,D08,T0200,4.4602456
Y2023,Ocak,D08,T0300,4.8702455
Y2023,Ocak,D08,T0400,5.270245
Y2023,Ocak,D08,T0500,5.8402452
Y2023,Ocak,D08,T0600,6.540245
Y2023,Ocak,D08,T0700,7.110245
Y2023,Ocak,D08,T0800,7.3502455
Y2023,Ocak,D08,T0900,7.4702454
Y2023,Ocak,D08,T1000,7.9302454
Y2023,Ocak,D08,T1100,8.080246
Y2023,Ocak,D08,T1200,8.750245
Y2023,Ocak,D08,T1300,8.750245
Y2023,Ocak,D08,T1400,9.050245
Y2023,Ocak,D08,T1500,9.050245
Y2023,Ocak,D08,T1600,9.000245
Y2023,Ocak,D08,T1700,8.170245
Y2023,Ocak,D08,T1800,8.040245
Y2023,Ocak,D08,T1900,7.8202453
Y2023,Ocak,D08,T2000,7.9302454
Y2023,Ocak,D08,T2100,7.9302454
Y2023,Ocak,D08,T2200,8.380245
Y2023,Ocak,D08,T2300,8.760245
Y2023,Ocak,D09,T0000,8.690246
Y2023,Ocak,D09,T0100,9.050245
Y2023,Ocak,D09,T0200,8.460245
Y2023,Ocak,D09,T0300,7.7002454
Y2023,Ocak,D09,T0400,6.630245
Y2023,Ocak,D09,T0500,6.2402453
Y2023,Ocak,D09,T0600,6.0902452
Y2023,Ocak,D09,T0700,6.150245
Y2023,Ocak,D09,T0800,6.230245
Y2023,Ocak,D09,T0900,6.8402452
Y2023,Ocak,D09,T1000,7.0602455
Y2023,Ocak,D09,T1100,7.0602455
Y2023,Ocak,D09,T1200,7.040245
Y2023,Ocak,D09,T1300,7.3202453
Y2023,Ocak,D09,T1400,6.480245
Y2023,Ocak,D09,T1500,5.8902454
Y2023,Ocak,D09,T1600,5.710245
Y2023,Ocak,D09,T1700,5.500245
Y2023,Ocak,D09,T1800,5.4502454
Y2023,Ocak,D09,T1900,5.2802453
Y2023,Ocak,D09,T2000,5.3902454
Y2023,Ocak,D09,T2100,5.1802454
Y2023,Ocak,D09,T2200,4.8502455
Y2023,Ocak,D09,T2300,5.040245
Y2023,Ocak,D10,T0000,5.440245
Y2023,Ocak,D10,T0100,5.400245
Y2023,Ocak,D10,T0200,5.270245
Y2023,Ocak,D10,T0300,5.170245
Y2023,Ocak,D10,T0400,5.000245
Y2023,Ocak,D10,T0500,5.0102453
Y2023,Ocak,D10,T0600,4.880245
Y2023,Ocak,D10,T0700,4.7802453
Y2023,Ocak,D10,T0800,4.790245
Y2023,Ocak,D10,T0900,5.110245
Y2023,Ocak,D10,T1000,5.6802454
Y2023,Ocak,D10,T1100,6.210245
Y2023,Ocak,D10,T1200,7.130245
Y2023,Ocak,D10,T1300,7.440245
Y2023,Ocak,D10,T1400,7.520245
Y2023,Ocak,D10,T1500,7.0902452
Y2023,Ocak,D10,T1600,6.250245
Y2023,Ocak,D10,T1700,6.1602454
Y2023,Ocak,D10,T1800,6.480245
Y2023,Ocak,D10,T1900,6.710245
Y2023,Ocak,D10,T2000,6.790245
Y2023,Ocak,D10,T2100,7.2602453
Y2023,Ocak,D10,T2200,7.2802453
Y2023,Ocak,D10,T2300,7.480245
Y2023,Ocak,D11,T0000,7.650245
Y2023,Ocak,D11,T0100,7.8702455
Y2023,Ocak,D11,T0200,8.200246
Y2023,Ocak,D11,T0300,8.330246
Y2023,Ocak,D11,T0400,8.590245
Y2023,Ocak,D11,T0500,8.780245
Y2023,Ocak,D11,T0600,8.910245
Y2023,Ocak,D11,T0700,9.360246
Y2023,Ocak,D11,T0800,9.680245
Y2023,Ocak,D11,T0900,9.890245
Y2023,Ocak,D11,T1000,9.540245
Y2023,Ocak,D11,T1100,9.340245
Y2023,Ocak,D11,T1200,9.350245
Y2023,Ocak,D11,T1300,9.230246
Y2023,Ocak,D11,T1400,9.390245
Y2023,Ocak,D11,T1500,9.3102455
Y2023,Ocak,D11,T1600,8.860246
