Yil,Ay,Gun,Saat,Ruzgar Hizi,Ruzgar Yonu
Y2023,Ocak,D05,T0600,57.05858,293.81567
Y2023,Ocak,D05,T0700,55.893986,294.74936
Y2023,Ocak,D05,T0800,55.55326,292.0772
Y2023,Ocak,D05,T0900,55.418957,291.7323
Y2023,Ocak,D05,T1000,57.00745,297.85965
Y2023,Ocak,D05,T1100,52.204964,298.86273
Y2023,Ocak,D05,T1200,48.726498,304.1597
Y2023,Ocak,D05,T1300,47.34787,315.0
Y2023,Ocak,D05,T1400,44.25072,320.6122
Y2023,Ocak,D05,T1500,43.6551,319.34747
Y2023,Ocak,D05,T1600,45.891174,318.17984
Y2023,Ocak,D05,T1700,44.36187,321.92114
Y2023,Ocak,D05,T1800,40.53798,326.59216
Y2023,Ocak,D05,T1900,35.949562,327.26477
Y2023,Ocak,D05,T2000,33.233284,320.2739
Y2023,Ocak,D05,T2100,31.160282,310.31412
Y2023,Ocak,D05,T2200,37.554058,299.268
Y2023,Ocak,D05,T2300,35.632725,288.2519
Y2023,Ocak,D06,T0000,33.97187,279.76178
Y2023,Ocak,D06,T0100,33.127823,271.24536
Y2023,Ocak,D06,T0200,35.069984,264.6991
Y2023,Ocak,D06,T0300,37.226505,260.5377
Y2023,Ocak,D06,T0400,39.325775,258.38147
Y2023,Ocak,D06,T0500,42.438793,259.73865
Y2023,Ocak,D06,T0600,43.738148,261.00287
Y2023,Ocak,D06,T0700,44.71107,256.97083
Y2023,Ocak,D06,T0800,46.90788,250.73071
Y2023,Ocak,D06,T0900,49.60298,248.27582
Y2023,Ocak,D06,T1000,55.397907,242.10274
Y2023,Ocak,D06,T1100,56.22688,241.30171
Y2023,Ocak,D06,T1200,57.15957,244.24188
Y2023,Ocak,D06,T1300,56.355812,247.85876
Y2023,Ocak,D06,T1400,54.420757,252.28421
Y2023,Ocak,D06,T1500,51.481255,253.33914
Y2023,Ocak,D06,T1600,48.26954,251.29478
Y2023,Ocak,D06,T1700,46.467896,247.20941
Y2023,Ocak,D06,T1800,45.288513,246.08376
