location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Cloud Cover Total
unit,%
level,sfc
resolution,hourly
aggregation,None
timestamp,Basel Cloud Cover Total
20230112T1700,83.0
20230112T1800,78.0
20230112T1900,90.0
20230112T2000,97.0
20230112T2100,97.0
20230112T2200,100.0
20230112T2300,99.0
20230113T0000,90.0
20230113T0100,97.0
20230113T0200,100.0
20230113T0300,98.0
20230113T0400,98.0
20230113T0500,96.0
20230113T0600,99.0
20230113T0700,98.0
20230113T0800,86.0
20230113T0900,71.0
20230113T1000,90.0
20230113T1100,53.0
20230113T1200,38.0
20230113T1300,47.0
20230113T1400,49.0
20230113T1500,32.0
20230113T1600,41.0
20230113T1700,25.0
20230113T1800,27.0
20230113T1900,40.0
20230113T2000,53.0
20230113T2100,50.0
20230113T2200,71.0
20230113T2300,75.0
20230114T0000,72.0
20230114T0100,79.0
20230114T0200,98.0
20230114T0300,55.0
20230114T0400,54.0
20230114T0500,91.0
20230114T0600,87.0
20230114T0700,71.0
20230114T0800,93.0
20230114T0900,63.0
20230114T1000,87.0
20230114T1100,75.0
20230114T1200,99.0
20230114T1300,91.0
20230114T1400,92.0
20230114T1500,97.0
20230114T1600,98.0
20230114T1700,99.0
20230114T1800,99.0
20230114T1900,99.0
20230114T2000,98.0
20230114T2100,96.0
20230114T2200,95.0
20230114T2300,97.0
20230115T0000,100.0
20230115T0100,100.0
20230115T0200,98.0
20230115T0300,97.0
20230115T0400,97.0
20230115T0500,98.0
20230115T0600,100.0
20230115T0700,100.0
20230115T0800,99.0
20230115T0900,100.0
20230115T1000,96.0
20230115T1100,99.0
20230115T1200,100.0
20230115T1300,79.0
20230115T1400,18.0
20230115T1500,14.0
20230115T1600,8.0
20230115T1700,6.0
20230115T1800,13.0
20230115T1900,12.0
20230115T2000,12.0
20230115T2100,16.0
20230115T2200,29.0
20230115T2300,24.0
20230116T0000,71.0
20230116T0100,34.0
20230116T0200,53.0
20230116T0300,33.0
20230116T0400,9.0
20230116T0500,27.300001
20230116T0600,30.000002
20230116T0700,82.0
20230116T0800,100.0
20230116T0900,99.0
20230116T1000,82.0
20230116T1100,65.0
20230116T1200,87.0
20230116T1300,63.0
20230116T1400,92.0
20230116T1500,100.0
20230116T1600,97.0
20230116T1700,64.0
20230116T1800,50.0
20230116T1900,39.0
20230116T2000,63.0
20230116T2100,63.0
20230116T2200,79.0
20230116T2300,72.0
20230117T0000,45.0
20230117T0100,34.0
20230117T0200,40.0
20230117T0300,48.0
20230117T0400,43.0
20230117T0500,33.0
20230117T0600,88.0
20230117T0700,99.0
20230117T0800,96.0
20230117T0900,88.0
20230117T1000,87.0
20230117T1100,71.0
20230117T1200,98.0
20230117T1300,100.0
20230117T1400,100.0
20230117T1500,88.0
20230117T1600,87.0
20230117T1700,93.0
20230117T1800,88.0
20230117T1900,82.0
20230117T2000,68.0
20230117T2100,68.0
20230117T2200,59.0
20230117T2300,87.0
20230118T0000,90.0
