location,Basel,Basel
lat,47.75000,47.75000
lon,7.50000,7.50000
asl,363.653,363.653
variable,Wind Speed,Wind Direction
unit,km/h,°
level,10 m,10 m
resolution,hourly,hourly
aggregation,None,None
timestamp,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20180108T1000,6.519877,96.34019
20180108T1100,6.2145634,100.00798
20180108T1200,4.0249224,79.695145
20180108T1300,5.3517847,47.726303
20180108T1400,6.1305785,40.236343
20180108T1500,5.692099,34.69516
20180108T1600,6.618519,44.999985
20180108T1700,6.4096174,51.842773
20180108T1800,5.3999996,53.130096
20180108T1900,4.6938257,57.5288
20180108T2000,5.315336,61.699234
20180108T2100,5.495161,58.392494
20180108T2200,6.12,61.927513
20180108T2300,6.0347,72.64597
20180109T0000,3.319036,102.52881
20180109T0100,3.7064266,150.94539
20180109T0200,4.198285,149.03624
20180109T0300,4.802999,192.99461
20180109T0400,3.5455887,203.9625
20180109T0500,2.7416782,156.8014
20180109T0600,2.8116899,140.19443
20180109T0700,4.072935,135.0
20180109T0800,4.8965297,126.027374
20180109T0900,4.829907,116.56505
20180109T1000,4.1046314,142.12502
20180109T1100,4.198285,210.96376
20180109T1200,5.0528407,184.08562
20180109T1300,4.6938252,175.60129
20180109T1400,3.671294,191.30994
20180109T1500,4.802999,192.99461
20180109T1600,5.4119864,176.18593
20180109T1700,4.452954,165.96376
20180109T1800,5.00128,149.74356
20180109T1900,5.3999996,143.1301
20180109T2000,5.495161,148.3925
20180109T2100,5.1165614,140.71059
20180109T2200,5.692099,145.30484
20180109T2300,6.379216,163.61046
20180110T0000,7.5685663,154.65382
20180110T0100,6.1094027,135.0
20180110T0200,5.0911684,135.0
20180110T0300,5.1165614,140.71059
20180110T0400,5.3999996,143.1301
20180110T0500,5.3999996,143.1301
20180110T0600,5.6233797,140.19443
20180110T0700,5.6233797,140.19443
20180110T0800,5.6233797,140.19443
20180110T0900,5.8048253,150.25511
20180110T1000,5.4477882,172.40535
20180110T1100,7.5599995,180.0
20180110T1200,8.287822,177.51045
20180110T1300,7.69592,169.2157
20180110T1400,5.937272,165.96376
20180110T1500,4.802999,167.00539
20180110T1600,4.5536795,161.56505
20180110T1700,4.829907,153.43495
20180110T1800,5.315336,151.69923
20180110T1900,5.4833565,156.8014
20180110T2000,5.6920996,161.56505
20180110T2100,5.315336,151.69923
20180110T2200,5.3517847,160.34618
20180110T2300,4.452954,165.96376
20180111T0000,5.3517847,160.34618
20180111T0100,5.0142193,158.9625
20180111T0200,4.5536795,161.56505
20180111T0300,4.802999,167.00539
20180111T0400,3.8773184,158.1986
20180111T0500,3.6,143.1301
20180111T0600,3.563818,135.0
20180111T0700,3.319036,130.60129
20180111T0800,3.319036,139.3987
20180111T0900,3.319036,130.60129
20180111T1000,2.1897945,99.46232
20180111T1100,2.0364676,135.0
20180111T1200,0.35999998,270.0
20180111T1300,2.6208394,344.0546
20180111T1400,4.73506,351.25385
20180111T1500,3.319036,347.4712
20180111T1600,7.2359104,5.7105865
20180111T1700,7.208994,2.8624115
20180111T1800,6.5693827,9.462311
20180111T1900,5.0911684,8.130096
20180111T2000,4.6938257,32.47119
20180111T2100,5.3517847,47.726303
20180111T2200,6.439876,63.43495
20180111T2300,5.6233797,50.194427
20180112T0000,4.6102495,51.34018
20180112T0100,5.00128,59.74356
20180112T0200,4.802999,77.00538
20180112T0300,3.671294,78.69006
20180112T0400,3.396233,57.994614
20180112T0500,4.198285,59.036232
20180112T0600,3.8939953,56.30993
20180112T0700,4.5820518,44.999985
20180112T0800,5.1919937,33.690063
20180112T0900,5.2416787,15.945404
20180112T1000,7.9932966,35.837646
20180112T1100,7.653705,48.81407
20180112T1200,7.42159,39.09384
20180112T1300,7.4128532,29.05458
20180112T1400,7.5942082,31.42955
20180112T1500,5.0142193,21.037506
20180112T1600,3.671294,348.69006
20180112T1700,4.0249224,349.69516
20180112T1800,5.506941,11.309921
20180112T1900,5.0911684,44.999985
20180112T2000,5.315336,61.699234
20180112T2100,5.154415,65.224846
20180112T2200,3.319036,40.601288
20180112T2300,3.0758414,69.443954
20180113T0000,2.5455842,81.869896
20180113T0100,3.219938,63.43495
20180113T0200,5.4477882,82.40536
20180113T0300,5.0528407,94.08562
20180113T0400,4.6938252,94.398705
20180113T0500,4.6938252,85.60129
20180113T0600,4.379589,80.537674
20180113T0700,5.0911684,81.869896
20180113T0800,4.32,89.99999
20180113T0900,6.130579,93.366455
20180113T1000,6.162207,96.70984
20180113T1100,7.754637,111.80141
20180113T1200,7.8954163,114.22774
20180113T1300,6.6087217,119.35774
20180113T1400,6.9247384,117.89726
20180113T1500,6.9247384,117.89726
20180113T1600,6.9247384,117.89726
20180113T1700,7.4128532,119.054596
20180113T1800,6.9247384,117.89726
20180113T1900,5.3517847,109.653824
20180113T2000,4.452954,104.03624
20180113T2100,4.3498964,114.44395
20180113T2200,4.8433046,138.01279
20180113T2300,6.297428,149.03624
20180114T0000,6.792466,147.99461
20180114T0100,5.495161,148.3925
20180114T0200,4.6102495,141.34018
20180114T0300,4.1046314,127.874985
20180114T0400,4.3349743,131.63353
20180114T0500,3.8268526,138.81407
20180114T0600,4.3349743,138.36646
20180114T0700,5.3517847,132.27368
20180114T0800,5.692099,124.69515
20180114T0900,5.991594,122.73523
20180114T1000,4.8965297,126.027374
20180114T1100,6.3690495,137.2906
20180114T1200,6.696387,143.74615
20180114T1300,6.638072,139.3987
20180114T1400,5.0911684,135.0
20180114T1500,4.3349743,131.63353
20180114T1600,6.3690495,132.70938
20180114T1700,4.8965297,143.97263
20180114T1800,5.00128,149.74356
20180114T1900,5.8048253,150.25511
20180114T2000,6.489992,146.30994
20180114T2100,6.193674,144.46231
20180114T2200,6.763786,154.79887
20180114T2300,8.049845,153.43495
20180115T0000,7.5685663,154.65382
20180115T0100,6.9527545,158.7495
20180115T0200,6.6185193,157.61987
20180115T0300,7.0911775,156.0375
20180115T0400,7.289444,159.77515
20180115T0500,7.5685663,154.65382
20180115T0600,7.5685663,154.65382
20180115T0700,7.0911775,156.0375
20180115T0800,8.049845,153.43495
20180115T0900,8.891344,158.62938
20180115T1000,8.759178,170.53767
20180115T1100,10.661107,168.31064
20180115T1200,9.449572,162.25533
20180115T1300,9.0,163.73979
20180115T1400,12.313893,164.74487
20180115T1500,12.7279215,171.8699
20180115T1600,10.805999,178.09085
20180115T1700,12.429127,190.00798
20180115T1800,18.847641,208.52312
20180115T1900,22.728518,209.4072
20180115T2000,24.023088,209.63838
